Episode,TotalReward,Epsilon
0,-4.999999999999916,0.9997
1,-4.999999999999916,0.9994000900000001
2,-3.9949999999999375,0.999100269973
3,-4.999999999999916,0.9988005398920082
4,-0.6950000000000005,0.9985008997300406
5,-4.999999999999916,0.9982013494601216
6,-1.98499999999996,0.9979018890552837
7,-0.6950000000000005,0.9976025184885671
8,-4.999999999999916,0.9973032377330205
9,-1.3949999999999922,0.9970040467617006
10,-4.999999999999916,0.9967049455476722
11,-0.4650000000000003,0.9964059340640079
12,-4.999999999999916,0.9961070122837887
13,-0.6950000000000005,0.9958081801801036
14,-4.999999999999916,0.9955094377260496
15,-4.999999999999916,0.9952107848947318
16,-1.3949999999999922,0.9949122216592634
17,-4.999999999999916,0.9946137479927657
18,-4.999999999999916,0.9943153638683679
19,4.045000000000002,0.9940170692592074
20,-0.6950000000000005,0.9937188641384297
21,-4.999999999999916,0.9934207484791882
22,-4.999999999999916,0.9931227222546445
23,-0.4650000000000003,0.9928247854379681
24,-0.6950000000000005,0.9925269380023368
25,-4.999999999999916,0.9922291799209362
26,-0.4650000000000003,0.9919315111669599
27,-4.999999999999916,0.9916339317136098
28,-4.999999999999916,0.9913364415340957
29,-4.999999999999916,0.9910390406016355
30,-1.3949999999999922,0.990741728889455
31,-4.999999999999916,0.9904445063707882
32,-4.999999999999916,0.990147373018877
33,-4.999999999999916,0.9898503288069713
34,-0.4650000000000003,0.9895533737083293
35,-3.9949999999999375,0.9892565076962169
36,-4.999999999999916,0.9889597307439081
37,-0.6950000000000005,0.988663042824685
38,-4.999999999999916,0.9883664439118376
39,-0.6950000000000005,0.988069933978664
40,-4.999999999999916,0.9877735129984705
41,-4.999999999999916,0.9874771809445709
42,-4.999999999999916,0.9871809377902876
43,-2.9899999999999514,0.9868847835089506
44,-0.6950000000000005,0.9865887180738979
45,-4.999999999999916,0.9862927414584758
46,-4.999999999999916,0.9859968536360383
47,-0.6950000000000005,0.9857010545799475
48,-0.4650000000000003,0.9854053442635735
49,-4.999999999999916,0.9851097226602945
50,-4.999999999999916,0.9848141897434964
51,-0.6950000000000005,0.9845187454865735
52,-0.6950000000000005,0.9842233898629276
53,-4.999999999999916,0.9839281228459688
54,-4.999999999999916,0.983632944409115
55,-1.3949999999999922,0.9833378545257923
56,-1.3949999999999922,0.9830428531694345
57,-0.6950000000000005,0.9827479403134837
58,-4.999999999999916,0.9824531159313896
59,-4.999999999999916,0.9821583799966103
60,-4.999999999999916,0.9818637324826113
61,-4.999999999999916,0.9815691733628665
62,-4.999999999999916,0.9812747026108577
63,-4.999999999999916,0.9809803202000744
64,-4.999999999999916,0.9806860261040145
65,-1.3949999999999922,0.9803918202961833
66,0.6050000000000078,0.9800977027500946
67,-0.6950000000000005,0.9798036734392696
68,-1.3949999999999922,0.9795097323372378
69,-0.4650000000000003,0.9792158794175366
70,-4.999999999999916,0.9789221146537114
71,-4.999999999999916,0.9786284380193153
72,-0.6950000000000005,0.9783348494879096
73,-4.999999999999916,0.9780413490330633
74,-0.6950000000000005,0.9777479366283534
75,-4.999999999999916,0.9774546122473649
76,-1.3949999999999922,0.9771613758636907
77,-1.3949999999999922,0.9768682274509316
78,-1.3949999999999922,0.9765751669826963
79,-4.999999999999916,0.9762821944326016
80,-0.4650000000000003,0.9759893097742718
81,-0.6950000000000005,0.9756965129813395
82,-0.4650000000000003,0.9754038040274452
83,-4.999999999999916,0.975111182886237
84,-0.4650000000000003,0.9748186495313712
85,-4.999999999999916,0.9745262039365118
86,-1.3949999999999922,0.9742338460753309
87,-4.999999999999916,0.9739415759215083
88,-0.6950000000000005,0.9736493934487319
89,-4.999999999999916,0.9733572986306973
90,-4.999999999999916,0.9730652914411081
91,-1.3949999999999922,0.9727733718536757
92,-4.999999999999916,0.9724815398421197
93,-4.999999999999916,0.9721897953801671
94,-4.999999999999916,0.9718981384415531
95,-0.6950000000000005,0.9716065690000207
96,-0.4650000000000003,0.9713150870293208
97,-0.6950000000000005,0.9710236925032121
98,-1.3949999999999922,0.9707323853954611
99,-4.999999999999916,0.9704411656798425
100,-4.999999999999916,0.9701500333301386
101,-0.4650000000000003,0.9698589883201396
102,-4.999999999999916,0.9695680306236436
103,-0.6950000000000005,0.9692771602144565
104,-0.4650000000000003,0.9689863770663922
105,-4.999999999999916,0.9686956811532723
106,-0.6950000000000005,0.9684050724489264
107,-0.4650000000000003,0.9681145509271917
108,-4.999999999999916,0.9678241165619136
109,-0.6950000000000005,0.967533769326945
110,-0.6950000000000005,0.967243509196147
111,-4.999999999999916,0.9669533361433882
